number,link,date,name,first_review,second_review,rating,n_reviews,type,price_range,price,review_pro
1,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,Beach Street Grill Organic Restaurant,“The eggs Benedict and breakfast burrito went down well and the coffee seemed...”,“The eggs Benedict and breakfast burrito went down well and the coffee seemed...”,40,702,"American, Seafood",$$ - $$$,mid_range,
2,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,1. Mersea Restaurant,“ Best fish and chips in San Francisco”,“ Best fish and chips in San Francisco”,50,208,"American, Bar",$$ - $$$,mid_range,
3,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,2. Eight Am,“The yogurt/granola parfait was huge and...”,“The yogurt/granola parfait was huge and...”,45,1141,"American, Cafe",$$ - $$$,mid_range,The Healthy Guide to San Francisco by Well+Good
4,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,3. Quince,“A wonderful duck agnolotti dish was then followed by lamb 3ways.”,“A wonderful duck agnolotti dish was then followed by lamb 3ways.”,45,543,French,$$$$,fine_dining,All 90 of California’s Michelin-starred restaurants by The Mercury News
5,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,4. Kokkari Estiatorio,“This time I has Gigantes and grilled sea bass .”,“This time I has Gigantes and grilled sea bass .”,45,2691,"Mediterranean, Greek",$$$$,fine_dining,"Take Back the Summer: Where to Eat, Play, and Stay in San Francisco | TripAdvisor Blog by TripAdvisor"
6,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,5. Chapeau!,"“ Scallops in a mushroom foam sauce, to die for.”","“ Scallops in a mushroom foam sauce, to die for.”",45,298,"French, European",$$$$,fine_dining,
7,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,6. Pacific Cafe,“Fish is the specialty and both scallops and halibut Parmesan was as hubby say...”,“Fish is the specialty and both scallops and halibut Parmesan was as hubby say...”,45,239,"American, Seafood",$$ - $$$,mid_range,
8,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,7. Lapisara Eatery,"“It is a Thai restaurant, but offers hearty American-style fare for breakfast.”","“It is a Thai restaurant, but offers hearty American-style fare for breakfast.”",45,169,"Asian, Thai",$$ - $$$,mid_range,
9,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,8. L'ardoise Bistro,"“The favorite dishes were the duck confit , the salmon tartare and the crime br...”","“The favorite dishes were the duck confit , the salmon tartare and the crime br...”",45,235,"French, European",$$ - $$$,mid_range,
10,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,9. Seven Hills,"“Amazing starter of nectarine, pistachio, rocket and mozzarella salad followed...”","“Amazing starter of nectarine, pistachio, rocket and mozzarella salad followed...”",45,922,"Seafood, Italian",$$$$,fine_dining,
11,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,10. Hollywood Cafe,"“Excellent Eggs Benedict with Asparagus , and Pancakes too.”","“Excellent Eggs Benedict with Asparagus , and Pancakes too.”",45,3769,"American, Cafe",$$ - $$$,mid_range,
12,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,11. Hog Island Oyster Company,"“We had the generous fish sliders and the mussels , which came with delicious b...”","“We had the generous fish sliders and the mussels , which came with delicious b...”",45,2235,"American, Seafood",$$ - $$$,mid_range,"Guide to Marin County, California by Viator"
13,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,12. Jeanne D'Arc Restaurant,“I had the Filet Mignon and it was the best I’ve ever had in a number of years...”,“I had the Filet Mignon and it was the best I’ve ever had in a number of years...”,45,678,"French, European",$$ - $$$,mid_range,
14,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,13. Betty Lou's Seafood and Grill,“We shared the wok cooked crab and sand dabs and both were so great!”,“We shared the wok cooked crab and sand dabs and both were so great!”,45,240,Seafood,$$ - $$$,mid_range,
15,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,14. Anchor Oyster Bar & Seafood Market,"“... San Francisco and you love great seafood , an intimate atmosphere, and a S...”","“... San Francisco and you love great seafood , an intimate atmosphere, and a S...”",45,639,"American, Seafood",$$ - $$$,mid_range,
16,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,15. Sweet Maple,“Chicken sausage curry scramble...amazing.”,“Chicken sausage curry scramble...amazing.”,45,892,"American, Cafe",$$ - $$$,mid_range,San Francisco by DameTraveler
17,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,16. E Tutto Qua,"“Three of us had some form of the homemade pasta --to die for--, and one had th...”","“Three of us had some form of the homemade pasta --to die for--, and one had th...”",45,1404,"Seafood, Italian",$$ - $$$,mid_range,
18,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,17. Ristorante Franchino,“I ordered Salmon & Prawn Piccata with roasted vegtables.”,“I ordered Salmon & Prawn Piccata with roasted vegtables.”,45,423,Italian,$$ - $$$,mid_range,
19,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,18. Mo's Grill,“And their omelet was terrific ... as was their french toast when I returned t...”,“And their omelet was terrific ... as was their french toast when I returned t...”,45,453,"American, Diner",$,cheap_eats,
20,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,19. Burma Superstar Restaurant,“Fresh and flavorful.The Tea Leaf salad had so many delicious things in it.”,“Fresh and flavorful.The Tea Leaf salad had so many delicious things in it.”,45,858,"Asian, Burmese",$$ - $$$,mid_range,
21,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,20. Off the Grid: Fort Mason Center,“... from all of the food trucks from BBQ to a lobster roll to bao to doughnuts!”,“... from all of the food trucks from BBQ to a lobster roll to bao to doughnuts!”,45,186,"Fast Food, International",$,cheap_eats,
22,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,21. Pacific Catch,“Ordered Korean stick ribs to share and 3 x fish tacos which you can mix and m...”,“Ordered Korean stick ribs to share and 3 x fish tacos which you can mix and m...”,45,983,"Hawaiian, Seafood",$$ - $$$,mid_range,
23,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,22. La Ciccia,“There was a special seafood pasta with a tomato and olive based sauce that wa...”,“There was a special seafood pasta with a tomato and olive based sauce that wa...”,45,232,"Italian, Seafood",$$ - $$$,mid_range,16 Must-Try Restaurants in San Francisco by Eater
24,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,23. Piccolo Forno,"“... and all fresh, so were salads and the can’t miss tiramisu for desert.”","“... and all fresh, so were salads and the can’t miss tiramisu for desert.”",45,264,"Italian, Pizza",$$ - $$$,mid_range,
25,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,24. Acquerello,“Would highly recommend the ridged pasta with faux foie gras and black truffle.”,“Would highly recommend the ridged pasta with faux foie gras and black truffle.”,45,346,"Contemporary, Italian",$$$$,fine_dining,The Bay Area's 2019 Michelin-starred restaurants by The Mercury News
26,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,25. Chez Maman,"“The burger is great, as are the steak frites, duck, and escargot .”","“The burger is great, as are the steak frites, duck, and escargot .”",45,247,"French, European",$$ - $$$,mid_range,
27,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,26. Boulevard,“The calamari was fresh & lightly battered.”,“The calamari was fresh & lightly battered.”,45,1842,"American, International",$$$$,fine_dining,
28,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,27. Delancey Street Restaurant,"“The drink , dinner and dessert menus are packed with so many amazing options.”","“The drink , dinner and dessert menus are packed with so many amazing options.”",45,344,"American, International",$$ - $$$,mid_range,
29,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,28. Liholiho Yacht Club,"“... the kung pao sweetbread, the curried manila clams, and the baked Hawaii !”","“... the kung pao sweetbread, the curried manila clams, and the baked Hawaii !”",45,341,"Asian, Hawaiian",$$ - $$$,mid_range,16 Must-Try Restaurants in San Francisco by Eater
30,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,29. Nob Hill Cafe,“The salad was so fresh and the vinaigrette was delicious.”,“The salad was so fresh and the vinaigrette was delicious.”,45,1079,"Italian, Pizza",$$ - $$$,mid_range,
31,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_2310,30. The House,“I had the sea bass for dinner which was grilled to perfection with a side dis...”,“I had the sea bass for dinner which was grilled to perfection with a side dis...”,45,603,"Seafood, Asian",$$ - $$$,mid_range,
32,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,Rambler at Hotel Zeppelin,“We had the warm duck salad (huge portio...”,“We had the warm duck salad (huge portio...”,40,131,"American, Bar",$$ - $$$,mid_range,17 Reliable Places to Eat Around Union Square by Eater
33,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,31. Coqueta,"“We've also had their Crispy Kale salad , the wood grilled octopus and the brio...”","“We've also had their Crispy Kale salad , the wood grilled octopus and the brio...”",45,704,"Mediterranean, Spanish",$$ - $$$,mid_range,
34,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,32. Trestle,“My wife and I added the pasta course and we sampled all the choice being offe...”,“My wife and I added the pasta course and we sampled all the choice being offe...”,45,205,American,$$ - $$$,mid_range,
35,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,33. Roam Artisan Burgers,“There is lots of choice for everyone and the vegetarian burgers are great.”,“There is lots of choice for everyone and the vegetarian burgers are great.”,45,407,"American, Fast Food",$$ - $$$,mid_range,
36,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,34. Taylor Street Coffee Shop,“The best Eggs Benedict with great service!”,“The best Eggs Benedict with great service!”,45,1329,"American, Contemporary",$$ - $$$,mid_range,
37,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,35. Pazzia Caffe and Trattoria,“The dessert was a tiramisu also very soft and perfect.”,“The dessert was a tiramisu also very soft and perfect.”,45,308,"Italian, Pizza",$$ - $$$,mid_range,
38,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,36. Brenda's French Soul Food,“Awesome menu - we shared fried chicken eggs benedict and french toast with pe...”,“Awesome menu - we shared fried chicken eggs benedict and french toast with pe...”,45,1057,"American, Cajun & Creole",$$ - $$$,mid_range,The Best Brunches in San Francisco Right Now by Thrillist
39,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,37. Fino Bar & Ristorante,“I had the Vitello Saltimbocca and my wife had the Ravioli con Gamberi al Camp...”,“I had the Vitello Saltimbocca and my wife had the Ravioli con Gamberi al Camp...”,45,1520,Italian,$$ - $$$,mid_range,
40,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,38. Capannina,"“I love the beef carpaccio, ahi tuna with prawn risotto and the octopus appeti...”","“I love the beef carpaccio, ahi tuna with prawn risotto and the octopus appeti...”",45,244,"Italian, Mediterranean",$$ - $$$,mid_range,
41,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,39. Frascati,“I then had the lobster risotto and my wife had the pork chop which was outsta...”,“I then had the lobster risotto and my wife had the pork chop which was outsta...”,45,608,Italian,$$$$,fine_dining,
42,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,40. Zazie,“I tried their Croque Monsieur - better than my last one in France this past s...”,“I tried their Croque Monsieur - better than my last one in France this past s...”,45,571,"French, American",$$ - $$$,mid_range,The Best Brunches in San Francisco Right Now by Thrillist
43,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,41. Restaurant Gary Danko,“The beef was seared to perfection and there were too many cheeses to choose f...”,“The beef was seared to perfection and there were too many cheeses to choose f...”,45,2556,American,$$$$,fine_dining,The Bay Area's 2019 Michelin-starred restaurants by The Mercury News
44,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,42. Za Pizza,"“The garden salad , Monday special, and cheese slice were all delicious.”","“The garden salad , Monday special, and cheese slice were all delicious.”",45,542,"Italian, Pizza",$,cheap_eats,
45,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,43. Ristorante Milano,“The risotto perfectly prepared.”,“The risotto perfectly prepared.”,45,340,Italian,$$ - $$$,mid_range,
46,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,44. Atelier Crenn,“Do get the special addition of caviar .”,“Do get the special addition of caviar .”,45,249,French,$$$$,fine_dining,"Every ‘Chef’s Table’ Restaurant, Mapped by Eater"
47,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,45. Frances,“A truly tasting menu.”,“A truly tasting menu.”,45,332,American,$$$$,fine_dining,
48,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,46. Surisan,“We ordered the K- burrito and K-tacos.”,“We ordered the K- burrito and K-tacos.”,45,294,"Asian, Korean",$$ - $$$,mid_range,
49,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,47. State Bird Provisions,“... (artichoke toast and sauerkraut pancakes - both delicious) because we sam...”,“... (artichoke toast and sauerkraut pancakes - both delicious) because we sam...”,45,543,American,$$$$,fine_dining,San Francisco by The Independent
50,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,48. Sotto Mare Oysteria & Seafood,"“Both were stuffed with Dungeness crab, mussels, clams, shrimp and calamari .”","“Both were stuffed with Dungeness crab, mussels, clams, shrimp and calamari .”",45,2357,"Italian, Seafood",$$ - $$$,mid_range,
51,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,49. Fog Harbor Fish House,"“Great clam chowder, the seafood mix with salmon cod and shrimp was outstanding.”","“Great clam chowder, the seafood mix with salmon cod and shrimp was outstanding.”",45,5306,"American, Seafood",$$ - $$$,mid_range,10 Top US Restaurants for Everyday Dining by TripAdvisor
52,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,50. Mymy,“Great eggs benedict ”,“Great eggs benedict ”,45,372,"American, Cafe",$$ - $$$,mid_range,
53,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,51. La Folie,“... chef/owner prepares amazing dishes and the tasting menu is a great value.”,“... chef/owner prepares amazing dishes and the tasting menu is a great value.”,45,389,"French, Contemporary",$$$$,fine_dining,
54,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,52. Nopa,"“Main course: - Braised duck leg: I love duck , this was quite good - Housemade...”","“Main course: - Braised duck leg: I love duck , this was quite good - Housemade...”",45,716,American,$$ - $$$,mid_range,The Best Brunches in San Francisco Right Now by Thrillist
55,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,53. Home Plate,“The French toast was absolutely delicious!”,“The French toast was absolutely delicious!”,45,563,American,$$ - $$$,mid_range,
56,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,54. Lolo,“We had beef tacos and avocado tacos which were amazing!”,“We had beef tacos and avocado tacos which were amazing!”,45,243,"Mexican, Central American",$$ - $$$,mid_range,16 Must-Try Restaurants in San Francisco by Eater
57,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,55. Curry Leaf Restaurant,“... a gem hidden and if you fancy a curry that you can't shake the taste out ...”,“... a gem hidden and if you fancy a curry that you can't shake the taste out ...”,45,230,"Indian, Asian",$,cheap_eats,
58,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,56. Don Pisto's,“Green salsa & continuous hot fresh nachos were very tasty.”,“Green salsa & continuous hot fresh nachos were very tasty.”,45,263,"Mexican, Latin",$$ - $$$,mid_range,
59,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,57. Octavia,“I had the dumplings for my main course and my husband had the beef entrée.”,“I had the dumplings for my main course and my husband had the beef entrée.”,45,201,American,$$$$,fine_dining,16 Must-Try Restaurants in San Francisco by Eater
60,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,58. Buena Vista Cafe,“My husband declared the Buena Vista Burger a triumph- no small praise from a...”,“My husband declared the Buena Vista Burger a triumph- no small praise from a...”,45,2508,"American, Irish",$$ - $$$,mid_range,Actually Cool Things to Do When Visiting SF by Thrillist
61,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,59. Tadich Grill,"“... the lobster ravioli, 2 the crab and prawns a la Mona, and 1 the cioppino.”","“... the lobster ravioli, 2 the crab and prawns a la Mona, and 1 the cioppino.”",45,2117,"American, Seafood",$$ - $$$,mid_range,
62,https://www.tripadvisor.com/Restaurants-g60713-oa30-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,60. Trattoria Contadina,"“... Meatballs, and Rigatoncelli, finished with some home made Tiramisu .”","“... Meatballs, and Rigatoncelli, finished with some home made Tiramisu .”",45,555,Italian,$$ - $$$,mid_range,24 hours in San Francisco by EF Education First
63,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,El Nuevo Frutilandia,"“This time we had white sangria, pastel puertoriqueno, tostones con mojo, ensa...”","“This time we had white sangria, pastel puertoriqueno, tostones con mojo, ensa...”",45,16,"Caribbean, Latin",$$ - $$$,mid_range,
64,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,61. Rich Table,“ Duck confit tacos out of this world.”,“ Duck confit tacos out of this world.”,45,301,International,$$$$,fine_dining,16 Must-Try Restaurants in San Francisco by Eater
65,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,62. Mourad,“The scallops were nicely seared & warm in the inside.”,“The scallops were nicely seared & warm in the inside.”,45,422,"Moroccan, Mediterranean",$$$$,fine_dining,The Bay Area's 2019 Michelin-starred restaurants by The Mercury News
66,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,63. Mandalay,“Exceptional Burmese dinner!”,“Exceptional Burmese dinner!”,45,204,"Asian, Burmese",$$ - $$$,mid_range,
67,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,64. Harris' Steakhouse,"“Filet Mignon, Crab Cakes , and Oysters OH MY!!!”","“Filet Mignon, Crab Cakes , and Oysters OH MY!!!”",45,876,"American, Steakhouse",$$$$,fine_dining,
68,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,65. Eno Wine Bar,“Good vibe & good wine”,“Good vibe & good wine”,45,369,Wine Bar,$$ - $$$,mid_range,
69,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,66. Plow,“My wife loved her lemon ricotta pancake and home fries .”,“My wife loved her lemon ricotta pancake and home fries .”,45,239,"American, Cafe",$$ - $$$,mid_range,The Best Brunches in San Francisco Right Now by Thrillist
70,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,67. House of Prime Rib,“The creamed spinach was great and so wa...”,“The creamed spinach was great and so wa...”,45,1678,"American, Steakhouse",$$$$,fine_dining,
71,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,68. Roka Akor | San Francisco,“The teriyaki salmon and chicken were absolutely lovely as was the salmon and...”,“The teriyaki salmon and chicken were absolutely lovely as was the salmon and...”,45,304,"Japanese, Sushi",$$$$,fine_dining,
72,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,69. Bourbon and Branch,“Secretive and Fun!”,“Secretive and Fun!”,45,481,$$ - $$,$$ - $$$,mid_range,8 places to visit in the US if you love bourbon by Insider
73,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,70. The Progress,“ Oysters w pickled nori to start.”,“ Oysters w pickled nori to start.”,45,217,American,$$$$,fine_dining,16 Must-Try Restaurants in San Francisco by Eater
74,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,71. Taj Campton Place Restaurant,“Food is simply delicious from truffled naan to wagyu beef beautifully wine pa...”,“Food is simply delicious from truffled naan to wagyu beef beautifully wine pa...”,45,360,"American, International",$$$$,fine_dining,The Bay Area's 2019 Michelin-starred restaurants by The Mercury News
75,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,72. Montesacro Pinseria,“The same dough is used for the paninis ...”,“The same dough is used for the paninis ...”,45,252,"Italian, Pizza",$$ - $$$,mid_range,
76,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,73. Isa,“I highly recommend the calamari which is grilled to perfection and actually A...”,“I highly recommend the calamari which is grilled to perfection and actually A...”,45,268,French,$$ - $$$,mid_range,
77,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,74. Espetus Churrascaria,“The Sirloin or Picanha is the best among all the cuts.”,“The Sirloin or Picanha is the best among all the cuts.”,45,323,"Steakhouse, Brazilian",$$$$,fine_dining,
78,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,75. Leopold's,“Worth the price.”,“Worth the price.”,45,175,"German, Austrian",$$ - $$$,mid_range,Check Out the Top Things to Do in Russian Hill by TripSavvy
79,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,76. Pat's Cafe,“... and got the special one morning which was Salmon Benedict w/hollandaise.”,“... and got the special one morning which was Salmon Benedict w/hollandaise.”,45,933,"American, Cafe",$$ - $$$,mid_range,
80,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,77. Souvla,"“... salad was amazing and my chicken sandwich was delicious, their lamb sandw...”","“... salad was amazing and my chicken sandwich was delicious, their lamb sandw...”",45,152,"Mediterranean, Greek",$$ - $$$,mid_range,San Francisco by DameTraveler
81,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,78. Scoma's,“The tiramisu was a light and satisfying finish to a tasty meal.”,“The tiramisu was a light and satisfying finish to a tasty meal.”,45,6009,"Italian, Wine Bar",$$$$,fine_dining,
82,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,79. Yank Sing,"“... Shanghai soup dumplings , excellent ...”","“... Shanghai soup dumplings , excellent ...”",45,888,"Chinese, Asian",$$ - $$$,mid_range,
83,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,80. Tommaso's Restaurant,"“Had pizza ,clams, caesar salad , veal picatta, new dessert and glass of Tomaso...”","“Had pizza ,clams, caesar salad , veal picatta, new dessert and glass of Tomaso...”",45,439,"Italian, Pizza",$$ - $$$,mid_range,
84,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,81. Il Casaro Pizzeria and Mozzarella Bar,“Best neapolitan pizza in San Francisco !”,“Best neapolitan pizza in San Francisco !”,45,858,"Italian, Pizza",$$ - $$$,mid_range,
85,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,82. Kitchen Story,"“We had the ahi scoops, ribs, & Pacific Pad Thai .”","“We had the ahi scoops, ribs, & Pacific Pad Thai .”",45,328,"American, Fusion",$$ - $$$,mid_range,
86,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,83. Original Joe's,“The arancini was very flavorful and hot!.”,“The arancini was very flavorful and hot!.”,45,1087,Italian,$$ - $$$,mid_range,
87,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,84. Rocco's Cafe,"“Family friendly, warm and welcoming.”","“Family friendly, warm and welcoming.”",45,221,"American, Italian",$$ - $$$,mid_range,
88,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,85. Tony's Pizza Napoletana,“The pasta and meatballs were also outstanding and to die for.”,“The pasta and meatballs were also outstanding and to die for.”,45,2452,"Italian, Pizza",$$ - $$$,mid_range,
89,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,86. Bouche,“Our guest enjoyed a beautifully prepared and presented tuna .”,“Our guest enjoyed a beautifully prepared and presented tuna .”,45,413,"French, European",$$ - $$$,mid_range,
90,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,87. Sam's Diner,"“... Florentine and my husband had corned beef and hash, and both were excellent.”","“... Florentine and my husband had corned beef and hash, and both were excellent.”",45,658,"Korean, American",$$ - $$$,mid_range,
91,https://www.tripadvisor.com/Restaurants-g60713-oa60-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_2310,88. Dumpling Time,“Great Food”,“Great Food”,45,85,"Chinese, Japanese",$$ - $$$,mid_range,
